fund_name,fund_code,category,description,revenue_sources_count
Arts and Culture Fund,,Special Purpose,"Arts and Culture Fund - Admission Tax. Admission tax revenue is expected to be $23.9 million for 2025, down $2.6 million from the forecast for the 2025 Adopted Budget. The projected revenue for 2026 is $25.4 million, an increase of $1.5 million from 2025, but still $1.8 million below the 2026 Endorsed | The Office of Arts & Culture (OAC) builds and strengthens community resilience through investments in arts and culture that support artists and cultural institutions in the city. The Office promotes Seattle as a cultural destination and invests in Seattle’s creative sector to ensure a wide range of high-quality programs, exhibits, and public art are provided throughout the city. Racial equity is central to OAC and is incorporated into department policies, procedures, and practices. OAC's program investments are centered around five key program areas: Cultural Investments, Creative Youth, Cultural Space, Art and Cultural Facilities, and Public Art. The Office is supported by the 16-member volunteer Seattle Arts Commission appointed by the Mayor and City Council who provide recommendations o",2
Construction and Inspections,,Special Purpose,"The Seattle Department of Construction and Inspections (SDCI) administers City ordinances regulating building construction, the use of land, and housing. It supports key City priorities, including delivering essential City services and building safer, more just communities. SDCI is responsible for developing and enforcing policies and codes related to public safety, environmental protection, land use, construction and rental housing, including: • Economic Displacement Relocation Assistance (EDRA) program • Environmentally Critical Areas Ordinance (ECA) • Housing and Building Maintenance Code (HBMC) • Just Cause Eviction Ordinance • Rental Registration and Inspection Ordinance (RRIO) • Seattle Building and Residential Codes • Seattle Condominium and Cooperative Conversion Ordinances • Seattle Electrical Code • Seattle Energy Code • Seattle Grading Code • Seattle Land Use Code • Seattle Mechanical Code • Seattle Noise Ordinance • Seattle Rental Agreement Regulation Ordinance • Seattle Shoreline Master Program (SSMP) • Seattle Tenant Relocation Assistance Ordinance (TRAO) • Seattle Tree Protection Ordinance • State Environmental Policy Act (SEPA) • Stormwater Code • Tree Service Provi",1
Drainage and Wastewater Fund,,Utilities,"Seattle Public Utilities (SPU) provides reliable, efficient and environmentally conscious utility services to enhance the quality of life and livability in all communities SPU serves. SPU operates three distinct utilities: Drainage and Wastewater, Solid Waste, and Water. These three utilities or Lines of Business maintain separate revenue sources, separate enterprise funds, and unique capital improvement projects, but share other capital projects and technology as well as common operations and administration. Drainage and Wastewater: The Drainage and Wastewater Utility collects and disposes or discharges storm runoff and wastewater from residences, businesses, institutions, and public properties within the City. In addition to handling sewage and storm water runoff, Drainage and Wastewater works with other government agencies and private parties to address Federal EPA-mandated sediment cleanup projects where contamination is linked to storm water or sewage, such as Gas Works Park and the Lower Duwamish Waterway. Drainage and Wastewater systems include approximately 448 miles of separated sanitary sewers, 968 miles of combined sewers, 481 miles of storm drains, 67 pump stations, 82",1
Emergency Fund,,Special Purpose,"City Fiscal Reserve Funds The State of Washington permits the City to maintain two financial reserves to draw upon in the event of certain unanticipated expenditure or revenue pressures. Emergency Fund Under the authority of RCW 35.32A.060, the City maintains the Emergency Fund (EMF) of the General Fund. The EMF is the principal reserve for the City to draw upon when certain unanticipated expenses occur during the fiscal year. Eligible expenses include costs related to storms or other natural disasters. State law limits the amount of money the City can set aside in this reserve to 37.5 cents per $1,000 of assessed value of property within the city. Prior to 2017, the City's practice was to fully fund the emergency reserve to this maximum limit. In 2017, the City modified the existing financial policies for the EMF to establish a minimum balance of $60 million, and to adjust that target balance each year with the rate of inflation. This policy struck a balance between ensuring that resources will be available to address unanticipated expenditures and making resources available to address current needs. In 2022, the City updated its financial policies to define a process for rebuildi",1
Employees' Retirement Fund,,Pensions & Benefits,Seattle City Employees Retirement System (SCERS) fund. Funded by employee and employer contributions based on actuarially determined rates to provide defined benefit pensions.,1
FEPP Levy 2025,,Levies & Special Taxes,"The mission of the Department of Education and Early Learning (DEEL) is to transform the lives of Seattle’s children, youth, and families through strategic investments in education. DEEL advances this mission by investing in equitable education opportunities, high-quality learning environments, and student and family supports. DEEL investments contribute to four department results: (1) families have access to affordable, quality childcare, (2) children are kindergarten-ready, (3) students graduate high school college- and career-ready, and (4) students attain a postsecondary degree, credential, or certificate. With investments across the prenatal-to-postsecondary continuum, DEEL supports children, youth, and families to address disparities in educational opportunity gaps. Using funding fro",1
Families Education Preschool Promise Levy,,Levies & Special Taxes,"The mission of the Department of Education and Early Learning (DEEL) is to transform the lives of Seattle’s children, youth, and families through strategic investments in education. DEEL advances this mission by investing in equitable education opportunities, high-quality learning environments, and student and family supports. DEEL investments contribute to four department results: (1) families have access to affordable, quality childcare, (2) children are kindergarten-ready, (3) students graduate high school college- and career-ready, and (4) students attain a postsecondary degree, credential, or certificate. With investments across the prenatal-to-postsecondary continuum, DEEL supports children, youth, and families to address disparities in educational opportunity gaps. Using funding fro",1
Finance and Administrative Services Fund,,Internal Service,"Department of Finance and Administrative Services (FAS) Overview The Department of Finance and Administrative Services (FAS) is often the public's first interaction with the City of Seattle, operating as a customer-focused front door that assists with everything from starting a business or paying utilities, to reporting a pothole, requesting public information, or even adopting a new pet. The department’s 500- plus employees span across 10 divisions and work behind-the-scenes providing critical functions, like managing 120 City facilities including police and fire stations, overseeing the City's neighborhood customer service centers and Customer Service Bureau, and making sure minority-owned businesses can equitably compete for City contracts. Broadly, FAS’ work can be split into three categories. Customer Services FAS oversees the City's Customer Service Bureau, the Downtown Customer Service Center, and the six neighborhood customer service centers located throughout the City. Over the phone, online, and in person, customers can get information, request services, pay bills, resolve problems, and voice opinions. The department also oversees the Find It, Fix It app, which operates s",1
Fireman's Pension Fund,,Pensions & Benefits,"Pension fund for retired Seattle firefighters. Funded by City contributions, employee contributions, and investment earnings to meet actuarially determined obligations.",1
Fleet Capital Fund,,Internal Service,Internal service fund for vehicle and equipment acquisition and replacement across the City fleet. Funded by departmental charges based on fleet usage.,1
